name,image,hangul,romanization,katakana,origin,genres,debut,disbanded,years_active,label,associated,members_current,members_former,website,sns,fandom,colors,related,other_names,group_name,link,type,gender,youtube_data,youtube_subscribers,youtube_videos,sns_parsed,youtube_link
A.FACT,https://static.wikia.nocookie.net/kpop/images/c/ca/A.FACT_profile_picture.png/revision/latest/scale-to-width-down/350?cb=20200108152555,,,,South Korea,,,,2019–2020,A.CONIC Stallion Entertainment,WOW The King,[],"['Sejin', 'Bawool', 'Wondae', 'Hoseong', 'Taeeun']",[],['https://www.instagram.com/wow_afact/'],,,,,A.FACT,https://kpop.fandom.com/wiki/A.FACT,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],['https://www.instagram.com/wow_afact/'],
A6P,https://static.wikia.nocookie.net/kpop/images/5/5a/A6P_Face_Off_promo_photo.png/revision/latest/scale-to-width-down/350?cb=20200720063539,,,,South Korea,Dance,"May 20, 2015","April 26, 2016",2015–2016,DS Entertainment,,[],"['Jung Yeon', 'Actin', 'Ado', 'Yaho', 'Jaguar', 'Jelly-P']",[],"['http://cafe.daum.net/A6P', 'https://www.facebook.com/A6Pofficial', 'https://twitter.com/A6P_OFFICIAL']",,,,AsixP,A6P,https://kpop.fandom.com/wiki/A6P,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],"['http://cafe.daum.net/A6P', 'https://www.facebook.com/A6Pofficial', 'https://twitter.com/A6P_OFFICIAL']",
AA,https://static.wikia.nocookie.net/kpop/images/7/74/AA_Ok_About_It_group_photo.png/revision/latest/scale-to-width-down/350?cb=20160118021503,더블에이,,,"Seoul, South Korea",Pop,"November 3, 2011",c. late 2015,2011–2015,Wellmade StarM,,[],"['Aoora', 'Woosang', 'Kimchi', 'Hoik', 'Juwon', 'Jinhong']",[],"['http://cafe.daum.net/2011AA', 'https://www.facebook.com/2011AA', 'https://twitter.com/2011__AA', 'https://www.youtube.com/channel/AAboyband']",,,,Double A,AA (group),https://kpop.fandom.com/wiki/AA_(group),group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],"['http://cafe.daum.net/2011AA', 'https://www.facebook.com/2011AA', 'https://twitter.com/2011__AA', 'https://www.youtube.com/channel/AAboyband']",https://www.youtube.com/channel/AAboyband
AB6IX,https://static.wikia.nocookie.net/kpop/images/5/59/AB6IX_2025_Season%27s_Greetings_group_concept_photo_2.webp/revision/latest/scale-to-width-down/350?cb=20241127055357,에이비식스 브랜뉴보이즈 (pre-debut),,エイビーシックス,"Seoul, South Korea",Pop,"May 22, 2019 (South Korea) November 24, 2021 (Japan)",,2019–present,Brand New Music (2019-present) Warner Music Korea (2019-present) Victor Entertainment (Japan; 2021-present),MXM,"['Woong', 'Donghyun', 'Woojin', 'Daehwi']",['Youngmin'],"['https://ab6ix-official.com/', 'https://www.ab6ix.jp/']","['https://www.facebook.com/AB6IX', 'https://www.instagram.com/ab6ix_official/', 'https://www.tiktok.com/@ab6ix.official', 'https://twitter.com/AB6IX', 'https://twitter.com/AB6IX_MEMBERS', 'https://www.youtube.com/channel/UCwytna6i1rFCt13a3Qvuk-A', 'https://twitter.com/AB6IX_JP', 'https://www.youtube.com/channel/UChjv1bId57wL93t6BDAqS3w']",ABNEW (에비뉴) [1],Burgundy,AB6IX Wiki,BRANDNEWBOYS (pre-debut),AB6IX,https://kpop.fandom.com/wiki/AB6IX,group,male,"{'subscribers': 512000, 'top_videos': []}",512000.0,[],"['https://www.facebook.com/AB6IX', 'https://www.instagram.com/ab6ix_official/', 'https://www.tiktok.com/@ab6ix.official', 'https://twitter.com/AB6IX', 'https://twitter.com/AB6IX_MEMBERS', 'https://www.youtube.com/channel/UCwytna6i1rFCt13a3Qvuk-A', 'https://twitter.com/AB6IX_JP', 'https://www.youtube.com/channel/UChjv1bId57wL93t6BDAqS3w']",https://www.youtube.com/channel/UCwytna6i1rFCt13a3Qvuk-A
Able,https://static.wikia.nocookie.net/kpop/images/0/0f/Able_Able%27s_1st_Album_group_promo_photo_%281%29.png/revision/latest/scale-to-width-down/333?cb=20220403012851,에이블,,,South Korea,,"November 11, 2010",c. 2015,2010–2015,ESJ Ent. (2011-2015) Richworld Entertainment (2010),,[],"['Hyo Chan', 'Juho', 'Cheol Woong', 'Sungmin', 'Jiyeol']",[],"['https://www.facebook.com/Ablelive', 'https://cafe.naver.com/ablelive', 'https://twitter.com/ablelive', 'https://www.youtube.com/user/AbleOnAir']",,,,A-ble,Able (group),https://kpop.fandom.com/wiki/Able_(group),group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],"['https://www.facebook.com/Ablelive', 'https://cafe.naver.com/ablelive', 'https://twitter.com/ablelive', 'https://www.youtube.com/user/AbleOnAir']",https://www.youtube.com/user/AbleOnAir
ABLUE,https://static.wikia.nocookie.net/kpop/images/b/b4/ABLUE_Live_in_Japan_%27Born_to_be_ABLUE%27_group_concept_photo.png/revision/latest/scale-to-width-down/350?cb=20240315072051,에이블루,,エイブルー,"Seoul, South Korea",,"October 23, 2022",,2021–present,J-Star Entertainment,,"['On', 'Wonjun', 'You', 'Gyuchan', 'Sukjun']",['WinL'],[],"['http://cafe.daum.net/ABLUE', 'https://www.instagram.com/official_ablue/', 'https://twitter.com/official_ablue']",BLUEVERY (블루베리) [1],,,,ABLUE,https://kpop.fandom.com/wiki/ABLUE,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],"['http://cafe.daum.net/ABLUE', 'https://www.instagram.com/official_ablue/', 'https://twitter.com/official_ablue']",
AboutU,https://static.wikia.nocookie.net/kpop/images/5/59/AboutU_Time_to_Shine_group_promo_photo.png/revision/latest/scale-to-width-down/350?cb=20210306190434,,,,South Korea,"Folk, blues, indie","February 24, 2018",,2018–present,CoronaX Entertainment (2020–present) Amp Music (2018–2019; 2021–present),,"['Do Yoon', 'Yi Soo', 'NeoN']",['Victor'],[],"['https://www.facebook.com/AboutUOfficial', 'https://www.instagram.com/aboutu.official/', 'https://www.tiktok.com/@aboutu_official', 'https://twitter.com/OfficialAboutu', 'https://www.youtube.com/channel/UCsK0XC1U4nig_hrdfqpJGDg']",,,,,AboutU,https://kpop.fandom.com/wiki/AboutU,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],"['https://www.facebook.com/AboutUOfficial', 'https://www.instagram.com/aboutu.official/', 'https://www.tiktok.com/@aboutu_official', 'https://twitter.com/OfficialAboutu', 'https://www.youtube.com/channel/UCsK0XC1U4nig_hrdfqpJGDg']",https://www.youtube.com/channel/UCsK0XC1U4nig_hrdfqpJGDg
ACT,https://static.wikia.nocookie.net/kpop/images/8/8b/ACT_Promotional_poster.png/revision/latest/scale-to-width-down/350?cb=20241128011301,에스티,,,South Korea,,,,2023-current,Shimjang Entertainment [1],Além do Guarda-Roupa,"['Kyungmin', 'Daeho', 'Sangmok', 'Chuwoo']",[],[],[],ImpACTades [2],,,,ACT,https://kpop.fandom.com/wiki/ACT,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],[],
ADOR new boy group,,,,,"Seoul, South Korea",,,,2023–present,ADOR,,[],[],[],[],,,,,ADOR new boy group,https://kpop.fandom.com/wiki/ADOR_new_boy_group,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],[],
AEONIT,https://static.wikia.nocookie.net/kpop/images/f/fb/AEONIT_Lumos_group_concept_photo_1.png/revision/latest/scale-to-width-down/350?cb=20241029010320,이오닛,,,South Korea,,"August 28, 2024",,2024–present,ONMIND,,"['Chanyu', 'Saebyeok', 'Yuan', 'Reon', 'Wooju']",[],[],"['http://cafe.daum.net/AEONIT', 'https://www.instagram.com/aeonit_official/', 'https://www.tiktok.com/@aeonit_official', 'https://twitter.com/aeonit_official', 'https://www.youtube.com/@aeonit_official']",,,,,AEONIT,https://kpop.fandom.com/wiki/AEONIT,group,male,"{'subscribers': 16100, 'top_videos': []}",16100.0,[],"['http://cafe.daum.net/AEONIT', 'https://www.instagram.com/aeonit_official/', 'https://www.tiktok.com/@aeonit_official', 'https://twitter.com/aeonit_official', 'https://www.youtube.com/@aeonit_official']",https://www.youtube.com/@aeonit_official
AHOF,https://static.wikia.nocookie.net/kpop/images/6/68/AHOF_group_logo.png/revision/latest/scale-to-width-down/350?cb=20250124153549,아홉,,アホプ,"Seoul, South Korea",,First half of 2025,,2025–present,F&F Entertainment,Universe League,"['Steven', 'Seo Jeong Woo', 'Cha Woong Ki', 'Zhang Shuai Bo', 'Park Han', 'JL', 'Park Ju Won', 'Chih En', 'Daisuke']",[],[],"['https://www.instagram.com/ahof_official/', 'https://www.tiktok.com/@ahof_official', 'https://twitter.com/AHOF_official', 'https://www.youtube.com/@AHOF_official', 'https://twitter.com/AHOF_JPofficial']",,,AHOF Wiki,All-Time Hall Of Famer,AHOF,https://kpop.fandom.com/wiki/AHOF,group,male,"{'subscribers': 76500, 'top_videos': []}",76500.0,[],"['https://www.instagram.com/ahof_official/', 'https://www.tiktok.com/@ahof_official', 'https://twitter.com/AHOF_official', 'https://www.youtube.com/@AHOF_official', 'https://twitter.com/AHOF_JPofficial']",https://www.youtube.com/@AHOF_official
AIMERS,https://static.wikia.nocookie.net/kpop/images/2/27/AIMERS_Confetti_group_concept_photo_1.png/revision/latest/scale-to-width-down/333?cb=20241212165638,에이머스,,エイマス,South Korea,"Dance, pop, hip-hop, R&B","November 17, 2022 (South Korea) October 10, 2023 (Japan)",,2021–present,KR: Hyper Rhythm (2022–present) B301 Entertainment (2022) AIMERS Entertainment (2021–2022) JP: Victor Entertainment,,"['Seunghyun', 'Eunjun', 'Doryun', 'Yoel', 'Seunghwan', 'Wooyoung']",[],['https://aimers-official.jp/'],"['http://cafe.daum.net/AIMERS', 'https://www.facebook.com/100086964471519', 'https://www.instagram.com/AIMERS_AMRS/', 'https://www.tiktok.com/@aimers_amrs', 'https://twitter.com/AIMERS_AMRS', 'https://twitter.com/AIMERS_members', 'https://www.youtube.com/channel/UC8TL_tJdbQDZcyfIRkjJldw', 'https://twitter.com/AIMERS_japan']",AIMING (에이밍),,,B3o1z (pre-debut) 1st AIMERS (pre-debut),AIMERS,https://kpop.fandom.com/wiki/AIMERS,group,male,"{'subscribers': 57200, 'top_videos': []}",57200.0,[],"['http://cafe.daum.net/AIMERS', 'https://www.facebook.com/100086964471519', 'https://www.instagram.com/AIMERS_AMRS/', 'https://www.tiktok.com/@aimers_amrs', 'https://twitter.com/AIMERS_AMRS', 'https://twitter.com/AIMERS_members', 'https://www.youtube.com/channel/UC8TL_tJdbQDZcyfIRkjJldw', 'https://twitter.com/AIMERS_japan']",https://www.youtube.com/channel/UC8TL_tJdbQDZcyfIRkjJldw
AIRPLANE,https://static.wikia.nocookie.net/kpop/images/6/63/AIRPLANE_Back_To_The_Future_promotional_photo.png/revision/latest/scale-to-width-down/350?cb=20240716091541,에어플레인,,,South Korea,"Hip-hop, pop","January 2, 2013","January 12, 2015",2012-2015,Winning Insight (2013) Plane Entertainment (2013-2014) TAJOY Entertainment (2014-2015),,[],"['mNine', 'Minki', 'Bokiri']",[],"['http://cafe.daum.net/airplanefan', 'https://twitter.com/PLANE_ENT', 'https://www.youtube.com/channel/AIRPLANEent']",Airport,,,,AIRPLANE (group),https://kpop.fandom.com/wiki/AIRPLANE_(group),group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],"['http://cafe.daum.net/airplanefan', 'https://twitter.com/PLANE_ENT', 'https://www.youtube.com/channel/AIRPLANEent']",https://www.youtube.com/channel/AIRPLANEent
ALL(H)OURS,https://static.wikia.nocookie.net/kpop/images/3/32/ALL%28H%29OURS_Smoke_Point_group_concept_photo_2.webp/revision/latest/scale-to-width-down/350?cb=20250125150840,올아워즈,Olawojeu ( RR ),,"Seoul, South Korea","Dance, hip-hop","January 10, 2024",,2021–present,EDEN Entertainment,,"['Kunho', 'Youmin', 'Xayden', 'Minje', 'Masami', 'Hyunbin', 'ON:N']",[],"['https://all-h-ours.com/', 'http://www.edenenter.com/page/artist_detail02']","['https://www.instagram.com/all_h_ours/', 'https://www.tiktok.com/@all_h_ours', 'https://twitter.com/ALL_H_OURS', 'https://twitter.com/at_ALL_H_OURS', 'https://www.youtube.com/@ALL_H_OURS', 'https://space.bilibili.com/3546632572373882', 'https://www.weibo.com/7899058492']",Min(ut)e (미닛) [1],,ALL(H)OURS Wiki,Daily Note (pre-debut) EDEN BOYS (pre-debut),ALL(H)OURS,https://kpop.fandom.com/wiki/ALL(H)OURS,group,male,"{'subscribers': 305000, 'top_videos': []}",305000.0,[],"['https://www.instagram.com/all_h_ours/', 'https://www.tiktok.com/@all_h_ours', 'https://twitter.com/ALL_H_OURS', 'https://twitter.com/at_ALL_H_OURS', 'https://www.youtube.com/@ALL_H_OURS', 'https://space.bilibili.com/3546632572373882', 'https://www.weibo.com/7899058492']",https://www.youtube.com/@ALL_H_OURS
ALL-STAR,https://static.wikia.nocookie.net/kpop/images/9/9b/ALLSTAR_group_2015.png/revision/latest/scale-to-width-down/350?cb=20151107182024,,,,"Seoul, South Korea",Pop,"August 26, 2015",c. 2017,2015–2017,BurnHard Entertainment,,[],"['Ha-Rang', 'Dal', 'Hoon', 'P.B', 'Noah', 'Joon Hyeon']",[],[],,,,,ALL-STAR,https://kpop.fandom.com/wiki/ALL-STAR,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],[],
ALLART BOYZ,https://static.wikia.nocookie.net/kpop/images/6/69/ALLART_BOYZ_group_profile_photo.png/revision/latest/scale-to-width-down/350?cb=20230730112142,,,,South Korea,,,c. 2024,2022–2024,ALLART Entertainment,,[],"['Jang Hyeonwoo', 'Wooseok', 'Haesol', 'Minjae', 'Nam Hyeonwoo', 'Chaehoon', 'Rai']",[],"['https://www.facebook.com/Allart-BOYZ-105685182259343', 'https://www.instagram.com/allartboyz_official/', 'https://www.tiktok.com/@allartboyz', 'https://twitter.com/allartboyz', 'https://www.youtube.com/channel/UCW9PhHQ-vYf9VIIHYg2NGQw']",,,,,ALLART BOYZ,https://kpop.fandom.com/wiki/ALLART_BOYZ,group,male,"{'subscribers': 2220, 'top_videos': []}",2220.0,[],"['https://www.facebook.com/Allart-BOYZ-105685182259343', 'https://www.instagram.com/allartboyz_official/', 'https://www.tiktok.com/@allartboyz', 'https://twitter.com/allartboyz', 'https://www.youtube.com/channel/UCW9PhHQ-vYf9VIIHYg2NGQw']",https://www.youtube.com/channel/UCW9PhHQ-vYf9VIIHYg2NGQw
AllDayz,https://static.wikia.nocookie.net/kpop/images/d/da/AllDayz_Such_a_Thing_group_promo_photo.png/revision/latest/scale-to-width-down/350?cb=20200720231624,,,,South Korea,Ballad,"February 16, 2017",c. 2017,2017,GUYS Ent.,,[],"['Rui', 'Aisle', 'Eunseok', 'Dohyun']",['https://guysent.modoo.at/?link=786eug09'],[],,,,,AllDayz,https://kpop.fandom.com/wiki/AllDayz,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],[],
AlphaBAT,https://static.wikia.nocookie.net/kpop/images/e/ea/AlphaBAT_Again_group_promo_photo.png/revision/latest/scale-to-width-down/350?cb=20200613102158,,,,"Seoul, South Korea","Pop, hip-hop","December 27, 2012 (duo) November 14, 2013 (group)",,2012 (duo) 2013–present (group),APB Entertainment (2019–present) W Entertainment (2017–2019) AZ Entertainment (2017-2019) Jakol Corporation (Japan; 2016) Simtong Entertainment (2013–2016) YUB Entertainment (2012),,"['B:eta', 'L:ambda', 'G:amma']","['C:ode', 'D:elta', 'E:psilon', 'F:ie', 'H:eta', 'I:ota', 'J:eta', 'K:appa', 'Kyumin']",['https://alphabat.jp/home'],"['http://cafe.daum.net/AlphaBAT', 'https://www.facebook.com/officialalphabat', 'https://www.instagram.com/alphabatofficial_/', 'https://tv.naver.com/alphabat', 'https://www.tiktok.com/@alphabat_official', 'https://twitter.com/Alphabat_APB', 'https://www.youtube.com/channel/UCfv22umTR9G-g3Nil_NgdzA']",Alpha (알파),,,,AlphaBAT,https://kpop.fandom.com/wiki/AlphaBAT,group,male,"{'subscribers': 9100, 'top_videos': []}",9100.0,[],"['http://cafe.daum.net/AlphaBAT', 'https://www.facebook.com/officialalphabat', 'https://www.instagram.com/alphabatofficial_/', 'https://tv.naver.com/alphabat', 'https://www.tiktok.com/@alphabat_official', 'https://twitter.com/Alphabat_APB', 'https://www.youtube.com/channel/UCfv22umTR9G-g3Nil_NgdzA']",https://www.youtube.com/channel/UCfv22umTR9G-g3Nil_NgdzA
AMBITION,https://static.wikia.nocookie.net/kpop/images/6/60/AMBITION_Inception_group_promo_photo.png/revision/latest/scale-to-width-down/350?cb=20230725234157,엠비션,,アンビション,,,,,2022–present,Independent,,"['Kyle', 'Ryu', 'Rookie', 'Daehyun']",[],[],"['https://www.instagram.com/ambition_official__/', 'https://www.tiktok.com/@@ambition_official_', 'https://twitter.com/AMBITION_KOREA', 'https://www.youtube.com/channel/@Ambition_official', 'https://www.tiktok.com/@ambition_official', 'https://twitter.com/ambition_1004']",Hope (희망),,,,AMBITION,https://kpop.fandom.com/wiki/AMBITION,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],"['https://www.instagram.com/ambition_official__/', 'https://www.tiktok.com/@@ambition_official_', 'https://twitter.com/AMBITION_KOREA', 'https://www.youtube.com/channel/@Ambition_official', 'https://www.tiktok.com/@ambition_official', 'https://twitter.com/ambition_1004']",https://www.youtube.com/channel/@Ambition_official
AMPERS&ONE,https://static.wikia.nocookie.net/kpop/images/9/91/AMPERS%26ONE_One_Question_group_concept_photo_1.png/revision/latest/scale-to-width-down/350?cb=20241008231721,앰퍼샌드원,Aempeosaendeuwon ( RR ),アンパサンドワン,"Seoul, South Korea","Dance, pop, hip-hop","November 15, 2023",,2023–present,FNC Entertainment (2023-present) RBW Japan (Japan),,"['Kamden', 'Brian', 'Jiho', 'Siyun', 'Kyrell', 'Mackiah', 'Seungmo']",[],['https://www.fncent.com/AMPERSANDONE/'],"['https://www.facebook.com/AMPERSANDONEofficial', 'https://www.instagram.com/ampersandone_official/', 'https://www.tiktok.com/@ampersandone', 'https://twitter.com/_AMPERSANDONE_', 'https://www.youtube.com/@AMPERSANDONE', 'https://www.weverse.io/ampersandone/artistpedia', 'https://www.weibo.com/ampersandone']",ANDEAR (앤디어) [1],,,,AMPERS&ONE,https://kpop.fandom.com/wiki/AMPERS%26ONE,group,male,"{'subscribers': 261000, 'top_videos': []}",261000.0,[],"['https://www.facebook.com/AMPERSANDONEofficial', 'https://www.instagram.com/ampersandone_official/', 'https://www.tiktok.com/@ampersandone', 'https://twitter.com/_AMPERSANDONE_', 'https://www.youtube.com/@AMPERSANDONE', 'https://www.weverse.io/ampersandone/artistpedia', 'https://www.weibo.com/ampersandone']",https://www.youtube.com/@AMPERSANDONE
ANEX,https://static.wikia.nocookie.net/kpop/images/b/bf/ANEX_Hitman_group_promo_photo_1.png/revision/latest/scale-to-width-down/343?cb=20240608091916,에닉스,,,South Korea,Trot,"April 23, 2024",,2024–present,Luce Entertainment,,"['Kim Danhee', 'Lee Dae Won', 'Kang Seolmin', 'Haru']",[],[],"['https://twitter.com/anex_luce', 'https://www.instagram.com/anex_luce/', 'https://www.tiktok.com/@anex_luce', 'https://www.youtube.com/@ANEX_LUCEbe', 'https://www.instagram.com/anex_official_jp/', 'https://twitter.com/anex_jp']",,,,,ANEX,https://kpop.fandom.com/wiki/ANEX,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],"['https://twitter.com/anex_luce', 'https://www.instagram.com/anex_luce/', 'https://www.tiktok.com/@anex_luce', 'https://www.youtube.com/@ANEX_LUCEbe', 'https://www.instagram.com/anex_official_jp/', 'https://twitter.com/anex_jp']",https://www.youtube.com/@ANEX_LUCEbe
ANTARES,https://static.wikia.nocookie.net/kpop/images/b/ba/ANTARES_2024_Live_in_Japan_group_concept_photo.png/revision/latest/scale-to-width-down/333?cb=20240509080157,안타레스,,,"Hongdae, Seoul, South Korea",,"January 19, 2021 (as Limit) April 16, 2023 (as ANTARES)",,2019–2021 2022–present,J-Star Entertainment (2022–present) Independent (2019–2021),ABLUE,"['J', 'Seunghee', 'Hwi', 'Ino', 'Haru', 'Woori', 'Ramu']","['Kim Hyo Jin', 'Kim Jin Ho', 'Park Seon Jae', 'Kim Seung Jun', 'Lee Suk Jun', 'Gyu']",[],"['https://www.instagram.com/official_antares_/', 'https://twitter.com/antares_twt_', 'https://www.youtube.com/@official_ANTARES']",MILKYWAY (밀키웨이) [1],,,Limit (2020–2022),ANTARES,https://kpop.fandom.com/wiki/ANTARES,group,male,"{'subscribers': 3680, 'top_videos': []}",3680.0,[],"['https://www.instagram.com/official_antares_/', 'https://twitter.com/antares_twt_', 'https://www.youtube.com/@official_ANTARES']",https://www.youtube.com/@official_ANTARES
APACE,https://static.wikia.nocookie.net/kpop/images/a/a3/APACE_Page_promo_photo.png/revision/latest/scale-to-width-down/333?cb=20240105080646,어페이스,eopeiseu,,,,"December 29, 2023",,2023-present,Rainbow E&M ( Future Idol ),Ascension Villain,"['Donghyeon', 'Sangyun', 'Eunpyo']",[],[],[],,,,,APACE,https://kpop.fandom.com/wiki/APACE,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],[],
